"youtuber name","number of subcribers","total views","category","number of uploads","country"
"T-Series","240","101","music","20082","India"
"YouTube Movies","170","26","film&animation","1","United States"
"MrBeast","166","20","Entertainment","741","United States"
"Cocomelon - Nursery Rhymes","162","19","Education","966","United States"
"SET India","159","30","Shows","116536","India"
"Music","119","28","music","0","India"
"Kids Diana Show","112","73","blogs","1111","United States"
"PewDiePie","111","38","Entertainment","4716","Japan"
"Like Nastya","106","36","music","493","Russia"
"Vlad and Niki","989","45","sports","574","United States"
"Zee Music Company","967","28","music","8548","India"
"WWE","960","61","sports","70127","United States"
"Gaming","937","29","film&animation","0","Japan"
"BLACKPINK","898","16","Shows","543","South Korea"
"Goldmines","868","59","howto&style","1","Canada"
"Sony SAB","869","33","music","71270","India"
"5-Minute Crafts","830","57","sports","556","United Kingdom"
"bangtantv","801","40","music","2281","South Korea"
"sports","756","25","music","3","United States"
"justin Biber","750","28","music","249","Canada"
"HYBE LABLES","713","28","music","1337","South Korea"
"Zee tv","705","73","Entertainment","129204","India"
"pingpong","682","38","Education","2865","United States"
"calnal kondzilla","665","36","music","2572","Bazil"
"chuchu tv","696","45","Shows","663","India"
"Colors tv","656","28","Shows","112915","India"
"Movieclips","646","59","Entertainment","39113","India"
"Tips Official","595","33","film&animation","4741","United States"
"El Reino Infantil","584","57","music","1510","United States"
"Wave Music","580","40","music","19487","India"
"Aja Tak","576","25","news","283775","India"
